scope_type;scope_value;feature;target;correlation;abs_correlation;n_observations;feature_label;feature_category;scope_type_label;scope;rank_abs_corr;rank_corr_desc;correlation_direction
canton;VS;humidity_rel;consumption_mwh;-0,07494249911091158;0,07494249911091158;96421;Relative Humidity;Precipitation / Humidity;Canton;Canton | VS;13,0;27,0;Negative
canton;VS;temperature_2m;consumption_mwh;0,061892902075451325;0,061892902075451325;96421;Temperature;Temperature / Thermal;Canton;Canton | VS;14,0;13,0;Positive
canton;VS;is_extreme_heat;consumption_mwh;0,05832942079719047;0,05832942079719047;96421;Extreme Heat;Extreme Weather Flags;Canton;Canton | VS;15,0;14,0;Positive
canton;VS;vapour_pressure;consumption_mwh;0,05782567560613144;0,05782567560613144;96421;Vapour Pressure;Temperature / Thermal;Canton;Canton | VS;16,0;15,0;Positive
canton;VS;hdd;consumption_mwh;-0,04681195802366791;0,04681195802366791;96421;Heating Degree Days;Temperature / Thermal;Canton;Canton | VS;17,0;26,0;Negative
canton;VS;quarter;consumption_mwh;-0,03873642955871491;0,03873642955871491;96421;Quarter;Time Features;Canton;Canton | VS;18,0;25,0;Negative
canton;VS;week_of_year;consumption_mwh;-0,029411927455313985;0,029411927455313985;96421;Week of Year;Time Features;Canton;Canton | VS;19,0;24,0;Negative
canton;VS;hour;consumption_mwh;-0,029138548608584093;0,029138548608584093;96421;Hour;Time Features;Canton;Canton | VS;20,0;23,0;Negative
canton;VS;month;consumption_mwh;-0,024037561126170493;0,024037561126170493;96421;Month;Time Features;Canton;Canton | VS;21,0;22,0;Negative
canton;VS;dew_point;consumption_mwh;0,004318554990609846;0,004318554990609846;96421;Dew Point;Temperature / Thermal;Canton;Canton | VS;22,0;16,0;Positive
canton;VS;precipitation;consumption_mwh;0,0022122875160416554;0,0022122875160416554;96421;Precipitation;Precipitation / Humidity;Canton;Canton | VS;23,0;17,0;Positive
canton;VS;pressure_station;consumption_mwh;0,0008142200672209243;0,0008142200672209243;96421;Station Pressure;Atmospheric;Canton;Canton | VS;24,0;18,0;Positive
canton;VS;pressure_qnh;consumption_mwh;0,0007964595464931667;0,0007964595464931667;96421;Pressure QNH;Atmospheric;Canton;Canton | VS;25,0;19,0;Positive
canton;VS;precipitation_flag;consumption_mwh;-0,00012157008446475721;0,00012157008446475721;96421;Precipitation Flag;Precipitation / Humidity;Canton;Canton | VS;26,0;21,0;Negative
canton;VS;heavy_precipitation_flag;consumption_mwh;-9,225546853167256e-06;9,225546853167256e-06;96421;Heavy Precipitation Flag;Precipitation / Humidity;Canton;Canton | VS;27,0;20,0;Negative
canton;ZH_SH;consumption_lag_168h;consumption_mwh;0,916059999818526;0,916059999818526;96421;Consumption Lag (168h);Lag / Historical;Canton;Canton | ZH_SH;1,0;1,0;Positive
canton;ZH_SH;consumption_lag_24h;consumption_mwh;0,8233628630063019;0,8233628630063019;96421;Consumption Lag (24h);Lag / Historical;Canton;Canton | ZH_SH;2,0;2,0;Positive
canton;ZH_SH;dew_point;consumption_mwh;-0,44242058823621544;0,44242058823621544;96421;Dew Point;Temperature / Thermal;Canton;Canton | ZH_SH;3,0;27,0;Negative
canton;ZH_SH;is_business_hour;consumption_mwh;0,42145098801993736;0,42145098801993736;96421;Business Hour;Time Features;Canton;Canton | ZH_SH;4,0;3,0;Positive
